row,col,id,fullname,sample,type,site,season,symbstate,density,all_id
A,1,A1,TN5SS,5,coral,NR,Summer,Symbiotic,11574762,C-NR-S-Sym
A,10,A10,WN1F,73,seawater,NR,Fall,NA,NA,W-NR-F-NA
A,11,A11,WC2S,47,seawater,CL,Summer,NA,NA,W-CL-S-NA
A,2,A2,TN4AS,9,coral,NR,Summer,Aposymbiotic,1134760,C-NR-S-Apo
A,3,A3,TR2AS,17,coral,RI,Summer,Aposymbiotic,112590,C-RI-S-Apo
A,4,A4,TC5SS,25,coral,CL,Summer,Symbiotic,2376125,C-CL-S-Sym
A,6,A6,WN2S,41,seawater,NR,Summer,NA,NA,W-NR-S-NA
A,7,A7,TN1SF,49,coral,NR,Fall,Symbiotic,12341513,C-NR-F-Sym
A,8,A8,TR1SF,57,coral,RI,Fall,Symbiotic,5726634,C-RI-F-Sym
A,9,A9,TR4AF,65,coral,RI,Fall,Aposymbiotic,669080,C-RI-F-Apo
B,1,B1,TN1AS,6,coral,NR,Summer,Aposymbiotic,3124368,C-NR-S-Apo
B,10,B10,WN2F,74,seawater,NR,Fall,NA,NA,W-NR-F-NA
B,2,B2,TN5AS,10,coral,NR,Summer,Aposymbiotic,1067099,C-NR-S-Apo
B,3,B3,TR3AS,18,coral,RI,Summer,Aposymbiotic,2296206,C-RI-S-Apo
B,4,B4,TC1AS,26,coral,CL,Summer,Aposymbiotic,2559609,C-CL-S-Apo
B,5,B5,SR1S,34,sediment,RI,Summer,NA,NA,S-RI-S-NA
B,6,B6,WN3S,42,seawater,NR,Summer,NA,NA,W-NR-S-NA
B,7,B7,TN2SF,50,coral,NR,Fall,Symbiotic,11691061,C-NR-F-Sym
B,8,B8,TR2SF,58,coral,RI,Fall,Symbiotic,12876451,C-RI-F-Sym
B,9,B9,TR5AF,66,coral,RI,Fall,Aposymbiotic,227804,C-RI-F-Apo
C,1,C1,TN2AS,7,coral,NR,Summer,Aposymbiotic,3584725,C-NR-S-Apo
C,10,C10,WN3F,75,seawater,NR,Fall,NA,NA,W-NR-F-NA
C,2,C2,TR1SS,11,coral,RI,Summer,Symbiotic,11493118,C-RI-S-Sym
C,3,C3,TR4AS,19,coral,RI,Summer,Aposymbiotic,146468,C-RI-S-Apo
C,4,C4,TC2AS,27,coral,CL,Summer,Aposymbiotic,5523780,C-CL-S-Apo
C,5,C5,SR2S,35,sediment,RI,Summer,NA,NA,S-RI-S-NA
C,6,C6,WR1S,43,seawater,RI,Summer,NA,NA,W-RI-S-NA
C,7,C7,TN3SF,51,coral,NR,Fall,Symbiotic,6406953,C-NR-F-Sym
C,8,C8,TR3SF,59,coral,RI,Fall,Symbiotic,5367753,C-RI-F-Sym
C,9,C9,SN1F,67,sediment,NR,Fall,NA,NA,S-NR-F-NA
D,1,D1,TN3AS,8,coral,NR,Summer,Aposymbiotic,42276,C-NR-S-Apo
D,10,D10,WR2F,76,seawater,RI,Fall,NA,NA,W-RI-F-NA
D,2,D2,TR2SS,12,coral,RI,Summer,Symbiotic,9978567,C-RI-S-Sym
D,3,D3,TR5AS,20,coral,RI,Summer,Aposymbiotic,653017,C-RI-S-Apo
D,4,D4,TC3AS,28,coral,CL,Summer,Aposymbiotic,10889669,C-CL-S-Apo
D,5,D5,SR3S,36,sediment,RI,Summer,NA,NA,S-RI-S-NA
D,6,D6,WR2S,44,seawater,RI,Summer,NA,NA,W-RI-S-NA
D,8,D8,TR4SF,60,coral,RI,Fall,Symbiotic,2674186,C-RI-F-Sym
D,9,D9,SN2F,68,sediment,NR,Fall,NA,NA,S-NR-F-NA
E,1,E1,TN1SS,1,coral,NR,Summer,Symbiotic,13253384,C-NR-S-Sym
E,10,E10,WR3F,77,seawater,RI,Fall,NA,NA,W-RI-F-NA
E,2,E2,TR3SS,13,coral,RI,Summer,Symbiotic,37850902,C-RI-S-Sym
E,3,E3,TC1SS,21,coral,CL,Summer,Symbiotic,14192093,C-CL-S-Sym
E,4,E4,TC4AS,29,coral,CL,Summer,Aposymbiotic,11935665,C-CL-S-Apo
E,5,E5,SC1S,37,sediment,CL,Summer,NA,NA,S-CL-S-NA
E,6,E6,WR3S,45,seawater,RI,Summer,NA,NA,W-RI-S-NA
E,7,E7,TN1AF,53,coral,NR,Fall,Aposymbiotic,678006,C-NR-F-Apo
E,8,E8,TR5SF,61,coral,RI,Fall,Symbiotic,3221874,C-RI-F-Sym
E,9,E9,SN3F,69,sediment,NR,Fall,NA,NA,S-NR-F-NA
F,1,F1,TN2SS,2,coral,NR,Summer,Symbiotic,2648052,C-NR-S-Sym
F,10,F10,neg1,neg1,neg,neg,neg,neg,neg,neg-neg-neg
F,2,F2,TR4SS,14,coral,RI,Summer,Symbiotic,15601048,C-RI-S-Sym
F,3,F3,TC2SS,22,coral,CL,Summer,Symbiotic,10932216,C-CL-S-Sym
F,4,F4,TC5AS,30,coral,CL,Summer,Aposymbiotic,4912527,C-CL-S-Apo
F,5,F5,SC2S,38,sediment,CL,Summer,NA,NA,S-CL-S-NA
F,6,F6,WC1S,46,seawater,CL,Summer,NA,NA,W-CL-S-NA
F,7,F7,TN2AF,54,coral,NR,Fall,Aposymbiotic,0,C-NR-F-Apo
F,8,F8,TR1AF,62,coral,RI,Fall,Aposymbiotic,2057843,C-RI-F-Apo
F,9,F9,SR1F,70,sediment,RI,Fall,NA,NA,S-RI-F-NA
G,1,G1,TN3SS,3,coral,NR,Summer,Symbiotic,12383940,C-NR-S-Sym
G,10,G10,neg2,neg2,neg,neg,neg,neg,neg,neg-neg-neg
G,2,G2,TR5SS,15,coral,RI,Summer,Symbiotic,15589530,C-RI-S-Sym
G,3,G3,TC3SS,23,coral,CL,Summer,Symbiotic,332861,C-CL-S-Sym
G,4,G4,SN1S,31,sediment,NR,Summer,NA,NA,S-NR-S-NA
G,5,G5,SC3S,39,sediment,CL,Summer,NA,NA,S-CL-S-NA
G,8,G8,TR2AF,63,coral,RI,Fall,Aposymbiotic,1186165,C-RI-F-Apo
G,9,G9,SR2F,71,sediment,RI,Fall,NA,NA,S-RI-F-NA
H,1,H1,TN4SS,4,coral,NR,Summer,Symbiotic,7429536,C-NR-S-Sym
H,10,H10,neg3,neg3,neg,neg,neg,neg,neg,neg-neg-neg
H,2,H2,TR1AS,16,coral,RI,Summer,Aposymbiotic,1149826,C-RI-S-Apo
H,3,H3,TC4SS,24,coral,CL,Summer,Symbiotic,14055961,C-CL-S-Sym
H,4,H4,SN2S,32,sediment,NR,Summer,NA,NA,S-NR-S-NA
H,5,H5,WN1S,40,seawater,NR,Summer,NA,NA,W-NR-S-NA
H,6,H6,WC3S,48,seawater,CL,Summer,NA,NA,W-CL-S-NA
H,7,H7,TN4AF,56,coral,NR,Fall,Aposymbiotic,107840,C-NR-F-Apo
H,8,H8,TR3AF,64,coral,RI,Fall,Aposymbiotic,331249,C-RI-F-Apo
H,9,H9,SR3F,72,sediment,RI,Fall,NA,NA,S-RI-F-NA